Compound_name;Filename;Dilution;Concnetration;SMILES;ret_time;Peak_Area;conc_M;MW;IC;Peak_Area_IC;slope;intercept;pH;mode
dazomet;2021062101-pH10-E-01ppm-FS;100;0.008062103;CN1CN(C(=S)SC1)C;4.5245437;2282561.88906601;8.062103000000001e-7;162.276;117.58203400396947;268388269.65632436;347750978808344.9;-15952734.398234073;10;positive
dazomet;2021062101-pH10-E-05ppm-FS;500;0.008062103;CN1CN(C(=S)SC1)C;4.5245437;15114252.5864855;4.0310515e-6;162.276;117.58203400396947;1777164561.5687215;347750978808344.9;-15952734.398234073;10;positive
dazomet;2021062101-pH10-E-1ppm-FS;1000;0.008062103;CN1CN(C(=S)SC1)C;4.5245437;31903830.631721;8.062103e-6;162.276;117.58203400396947;3751317298.1959014;347750978808344.9;-15952734.398234073;10;positive
methomyl;2021062101-pH10-E-001ppm-FS;10;0.005593457;CC(=NOC(=O)NC)SC;4.6221681;4588858.07686319;5.593457e-8;162.21;112.28718388244414;515269950.687176;10369099436238362;-15544319.649263382;10;positive
methomyl;2021062101-pH10-E-005ppm-FS;50;0.005593457;CC(=NOC(=O)NC)SC;4.6221681;24513685.1577433;2.7967285e-7;162.21;112.28718388244414;2752572672.943864;10369099436238362;-15544319.649263382;10;positive
methomyl;2021062101-pH10-E-01ppm-FS;100;0.005593457;CC(=NOC(=O)NC)SC;4.6221681;53371424.2166984;5.593457e-7;162.21;112.28718388244414;5992926925.088346;10369099436238362;-15544319.649263382;10;positive
methomyl;2021062101-pH10-E-05ppm-FS;500;0.005593457;CC(=NOC(=O)NC)SC;4.6221681;257878646.308489;2.7967285e-6;162.21;112.28718388244414;28956466977.39708;10369099436238362;-15544319.649263382;10;positive
methomyl;2021062101-pH10-E-1ppm-FS;1000;0.005593457;CC(=NOC(=O)NC)SC;4.6221681;541431854.280048;5.593457e-6;162.21;112.28718388244414;60795858181.35645;10369099436238362;-15544319.649263382;10;positive
Diclofenac Sodium;2021062101-pH10-E-05ppm-FS;500;0.003666782;C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+];5.8393782;148105.232786731;1.833391e-6;295.141;203.85343923243894;30191761.071896095;26109763096527.937;-17677643.601410374;10;positive
Diclofenac Sodium;2021062101-pH10-E-1ppm-FS;1000;0.003666782;C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+];5.8393782;382927.882105512;3.666782e-6;295.141;203.85343923243894;78061165.74520254;26109763096527.937;-17677643.601410374;10;positive
benzylamine;2021062101-pH10-E-005ppm-FS;50;0.009782824;C1=CC=C(C=C1)CN;6.362001;13841547.3439695;4.891412000000001e-7;107.153;108.28550946410986;1498839005.9133341;3488060978327772;-301085504.4508735;10;positive
benzylamine;2021062101-pH10-E-01ppm-FS;100;0.009782824;C1=CC=C(C=C1)CN;6.362001;27757469.3574252;9.782824000000001e-7;107.153;108.28550946410986;3005731710.8032064;3488060978327772;-301085504.4508735;10;positive
benzylamine;2021062101-pH10-E-05ppm-FS;500;0.009782824;C1=CC=C(C=C1)CN;6.362001;154888490.407401;4.891412000000001e-6;107.153;108.28550946410986;16772179093.892311;3488060978327772;-301085504.4508735;10;positive
benzylamine;2021062101-pH10-E-1ppm-FS;1000;0.009782824;C1=CC=C(C=C1)CN;6.362001;290762829.917636;9.782824000000001e-6;107.153;108.28550946410986;31485401170.857536;3488060978327772;-301085504.4508735;10;positive
thiabendazole;2021062101-pH10-E-001ppm-FS;10;0.005522862;C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3;7.4215242;50895223.4731932;5.522862e-8;201.248;118.30429126990904;6021123342.01976;106502561859730670;180831436.0147238;10;positive
thiabendazole;2021062101-pH10-E-005ppm-FS;50;0.005522862;C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3;7.4215242;250758737.565749;2.761431e-7;201.248;118.30429126990904;29665834727.453053;106502561859730670;180831436.0147238;10;positive
thiabendazole;2021062101-pH10-E-01ppm-FS;100;0.005522862;C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3;7.4215242;498438119.980613;5.522862e-7;201.248;118.30429126990904;58967368526.21231;106502561859730670;180831436.0147238;10;positive
thiabendazole;2021062101-pH10-E-05ppm-FS;500;0.005522862;C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3;7.4215242;2224112938.36035;2.761431e-6;201.248;118.30429126990904;263122104876.95612;106502561859730670;180831436.0147238;10;positive
thiabendazole;2021062101-pH10-E-1ppm-FS;1000;0.005522862;C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3;7.4215242;3683900407.94918;5.522862e-6;201.248;118.30429126990904;435821226871.35657;106502561859730670;180831436.0147238;10;positive
cyanazine;2021062101-pH10-E-001ppm-FS;10;0.003312352;CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;8.4053921;241900.159988349;3.3123520000000005e-8;240.693;148.65652851173022;35960038.0303001;1267572787824721.2;-14000224.434821;10;positive
cyanazine;2021062101-pH10-E-005ppm-FS;50;0.003312352;CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;8.4053921;1221468.83524604;1.6561760000000003e-7;240.693;148.65652851173022;181579316.73294285;1267572787824721.2;-14000224.434821;10;positive
cyanazine;2021062101-pH10-E-01ppm-FS;100;0.003312352;CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;8.4053921;2773127.67547408;3.3123520000000005e-7;240.693;148.65652851173022;412243533.35578066;1267572787824721.2;-14000224.434821;10;positive
cyanazine;2021062101-pH10-E-05ppm-FS;500;0.003312352;CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;8.4053921;19389747.9267793;1.656176e-6;240.693;148.65652851173022;2882412615.512529;1267572787824721.2;-14000224.434821;10;positive
cyanazine;2021062101-pH10-E-1ppm-FS;1000;0.003312352;CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;8.4053921;42394447.8591936;3.312352e-6;240.693;148.65652851173022;6302211446.919273;1267572787824721.2;-14000224.434821;10;positive
dimethyl phtalate;2021062101-pH10-E-005ppm-FS;50;0.007159052;COC(=O)C1=CC=CC=C1C(=O)OC;8.5430473;537843.562262547;3.579526e-7;194.184;112.43151913605713;60470568.76272669;308398980187107.1;-61337793.41255792;10;positive
dimethyl phtalate;2021062101-pH10-E-01ppm-FS;100;0.007159052;COC(=O)C1=CC=CC=C1C(=O)OC;8.5430473;1303935.74463957;7.159052e-7;194.184;112.43151913605713;146603476.6256327;308398980187107.1;-61337793.41255792;10;positive
dimethyl phtalate;2021062101-pH10-E-05ppm-FS;500;0.007159052;COC(=O)C1=CC=CC=C1C(=O)OC;8.5430473;9285753.68131226;3.579526e-6;194.184;112.43151913605713;1044011392.7131722;308398980187107.1;-61337793.41255792;10;positive
dimethyl phtalate;2021062101-pH10-E-1ppm-FS;1000;0.007159052;COC(=O)C1=CC=CC=C1C(=O)OC;8.5430473;19724319.8965061;7.159052e-6;194.184;112.43151913605713;2217635249.889738;308398980187107.1;-61337793.41255792;10;positive
(S)-3-Anilino-5-methyl-5-phenylimidazolidine-2,4-dione;2021062101-pH10-E-005ppm-FS;50;0.003839181;C[C@]1(NC(=O)N(Nc2ccccc2)C1=O)c3ccccc3;9.1926925;162499.947521083;1.9195905000000003e-7;281.309;120.57809575574697;19593934.232501004;126836476096530.62;-9414195.272300068;10;positive
(S)-3-Anilino-5-methyl-5-phenylimidazolidine-2,4-dione;2021062101-pH10-E-01ppm-FS;100;0.003839181;C[C@]1(NC(=O)N(Nc2ccccc2)C1=O)c3ccccc3;9.1926925;282284.384855152;3.8391810000000006e-7;281.309;120.57809575574697;34037313.58741665;126836476096530.62;-9414195.272300068;10;positive
(S)-3-Anilino-5-methyl-5-phenylimidazolidine-2,4-dione;2021062101-pH10-E-05ppm-FS;500;0.003839181;C[C@]1(NC(=O)N(Nc2ccccc2)C1=O)c3ccccc3;9.1926925;1945979.39062982;1.9195905e-6;281.309;120.57809575574697;234642489.30207258;126836476096530.62;-9414195.272300068;10;positive
(S)-3-Anilino-5-methyl-5-phenylimidazolidine-2,4-dione;2021062101-pH10-E-1ppm-FS;1000;0.003839181;C[C@]1(NC(=O)N(Nc2ccccc2)C1=O)c3ccccc3;9.1926925;4572224.79082221;3.839181e-6;281.309;120.57809575574697;551310158.6445606;126836476096530.62;-9414195.272300068;10;positive
matalaxyl;2021062101-pH10-E-001ppm-FS;10;0.00278805;CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC;9.9372662;11451420.6111043;2.78805e-8;279.332;119.16646501984972;1364625313.6807468;52564304439939496;-52737580.50934434;10;positive
matalaxyl;2021062101-pH10-E-005ppm-FS;50;0.00278805;CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC;9.9372662;61775257.1606353;1.394025e-7;279.332;119.16646501984972;7361539021.525067;52564304439939496;-52737580.50934434;10;positive
matalaxyl;2021062101-pH10-E-01ppm-FS;100;0.00278805;CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC;9.9372662;122214990.264618;2.78805e-7;279.332;119.16646501984972;14563928362.269875;52564304439939496;-52737580.50934434;10;positive
matalaxyl;2021062101-pH10-E-05ppm-FS;500;0.00278805;CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC;9.9372662;635419309.401483;1.394025e-6;279.332;119.16646501984972;75720672906.7289;52564304439939496;-52737580.50934434;10;positive
matalaxyl;2021062101-pH10-E-1ppm-FS;1000;0.00278805;CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC;9.9372662;1117085049.42076;2.78805e-6;279.332;119.16646501984972;133119076465.9961;52564304439939496;-52737580.50934434;10;positive
Acridine;2021062101-pH10-E-001ppm-FS;10;0.006052985;C1=CC=C2C(=C1)C=C3C=CC=CC3=N2;10.8174969999999;27918516.6369929;6.052985e-8;179.217;115.4417323172118;3222961924.3013587;51964589383528136;107949635.01609802;10;positive
Acridine;2021062101-pH10-E-005ppm-FS;50;0.006052985;C1=CC=C2C(=C1)C=C3C=CC=CC3=N2;10.8174969999999;136803246.87479;3.0264925e-7;179.217;115.4417323172118;15792803805.84495;51964589383528136;107949635.01609802;10;positive
Acridine;2021062101-pH10-E-01ppm-FS;100;0.006052985;C1=CC=C2C(=C1)C=C3C=CC=CC3=N2;10.8174969999999;274136019.054503;6.052985e-7;179.217;115.4417323172118;31646736930.19601;51964589383528136;107949635.01609802;10;positive
Acridine;2021062101-pH10-E-05ppm-FS;500;0.006052985;C1=CC=C2C(=C1)C=C3C=CC=CC3=N2;10.8174969999999;1363166279.35972;3.0264925e-6;179.217;115.4417323172118;157366276725.69437;51964589383528136;107949635.01609802;10;positive
Acridine;2021062101-pH10-E-1ppm-FS;1000;0.006052985;C1=CC=C2C(=C1)C=C3C=CC=CC3=N2;10.8174969999999;2679341204.39551;6.052985e-6;179.217;115.4417323172118;309307790104.30237;51964589383528136;107949635.01609802;10;positive
propanil;2021062101-pH10-E-05ppm-FS;500;0.003774256;CCC(=O)NC1=CC(=C(C=C1)Cl)Cl;10.8941009999999;341969.877944589;1.887128e-6;218.08;192.91879394408906;65972416.41827745;48834112923007.68;-26183805.433892153;10;positive
propanil;2021062101-pH10-E-1ppm-FS;1000;0.003774256;CCC(=O)NC1=CC(=C(C=C1)Cl)Cl;10.8941009999999;819664.248555666;3.774256e-6;218.08;192.91879394408906;158128638.2704471;48834112923007.68;-26183805.433892153;10;positive
Quinine;2021062101-pH10-E-001ppm-FS;10;0.003835262;COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O;11.336029;17999380.7769266;3.835262e-8;324.417;125.57405406047859;2260255214.73692;61212616927589870;-109055247.40489092;10;positive
Quinine;2021062101-pH10-E-005ppm-FS;50;0.003835262;COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O;11.336029;92298546.9714774;1.917631e-7;324.417;125.57405406047859;11590302727.099926;61212616927589870;-109055247.40489092;10;positive
Quinine;2021062101-pH10-E-01ppm-FS;100;0.003835262;COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O;11.336029;186224011.564974;3.835262e-7;324.417;125.57405406047859;23384904095.619236;61212616927589870;-109055247.40489092;10;positive
Quinine;2021062101-pH10-E-05ppm-FS;500;0.003835262;COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O;11.336029;763103214.617333;1.917631e-6;324.417;125.57405406047859;95825964326.08197;61212616927589870;-109055247.40489092;10;positive
Quinine;2021062101-pH10-E-1ppm-FS;1000;0.003835262;COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O;11.336029;1363039432.53357;3.835262e-6;324.417;125.57405406047859;171162387387.53458;61212616927589870;-109055247.40489092;10;positive
methidathion;2021062101-pH10-E-005ppm-FS;50;0.004433326;COC1=NN(C(=O)S1)CSP(=S)(OC)OC;11.1868839999999;137520.149648511;2.216663e-7;302.331;126.23517076648606;17359879.574712504;110103307149920.77;-4313049.062727575;10;positive
methidathion;2021062101-pH10-E-01ppm-FS;100;0.004433326;COC1=NN(C(=O)S1)CSP(=S)(OC)OC;11.1868839999999;376870.076394375;4.433326e-7;302.331;126.23517076648606;47574258.45042258;110103307149920.77;-4313049.062727575;10;positive
methidathion;2021062101-pH10-E-05ppm-FS;500;0.004433326;COC1=NN(C(=O)S1)CSP(=S)(OC)OC;11.1868839999999;1896517.5759731;2.216663e-6;302.331;126.23517076648606;239407220.0646065;110103307149920.77;-4313049.062727575;10;positive
methidathion;2021062101-pH10-E-1ppm-FS;1000;0.004433326;COC1=NN(C(=O)S1)CSP(=S)(OC)OC;11.1868839999999;4898737.04059442;4.433326e-6;302.331;126.23517076648606;618392906.8595473;110103307149920.77;-4313049.062727575;10;positive
febantel;2021062101-pH10-E-001ppm-FS;10;0.001881383;COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC;12.576828;17798389.961398;1.881383e-8;446.477;134.15936074661695;2387820619.54016;128814837015126300;-14713100.43736332;10;positive
febantel;2021062101-pH10-E-005ppm-FS;50;0.001881383;COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC;12.576828;90493344.3524569;9.406915000000001e-8;446.477;134.15936074661695;12140529230.149097;128814837015126300;-14713100.43736332;10;positive
febantel;2021062101-pH10-E-01ppm-FS;100;0.001881383;COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC;12.576828;180408715.691452;1.8813830000000002e-7;446.477;134.15936074661695;24203517970.283363;128814837015126300;-14713100.43736332;10;positive
febantel;2021062101-pH10-E-05ppm-FS;500;0.001881383;COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC;12.576828;695826223.821296;9.406915e-7;446.477;134.15936074661695;93351601378.59747;128814837015126300;-14713100.43736332;10;positive
febantel;2021062101-pH10-E-1ppm-FS;1000;0.001881383;COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC;12.576828;1263024903.3438;1.881383e-6;446.477;134.15936074661695;169446613639.6619;128814837015126300;-14713100.43736332;10;positive
anziphos-ethyl;2021062101-pH10-E-005ppm-FS;50;0.003803483;CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1;12.9288919999999;302082.021874249;1.9017415e-7;345.378;127.99792090933524;38665870.743992195;328109234563383.75;-29666616.909446847;10;positive
anziphos-ethyl;2021062101-pH10-E-01ppm-FS;100;0.003803483;CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1;12.9288919999999;691048.378532605;3.803483e-7;345.378;127.99792090933524;88452755.69994074;328109234563383.75;-29666616.909446847;10;positive
anziphos-ethyl;2021062101-pH10-E-05ppm-FS;500;0.003803483;CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1;12.9288919999999;4648936.0989103;1.9017415e-6;345.378;127.99792090933524;595054155.1008741;328109234563383.75;-29666616.909446847;10;positive
anziphos-ethyl;2021062101-pH10-E-1ppm-FS;1000;0.003803483;CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1;12.9288919999999;10211396.399993;3.803483e-6;345.378;127.99792090933524;1307037508.7801747;328109234563383.75;-29666616.909446847;10;positive
tetramethylthioram disulfide;2021062101-pH10-E-001ppm-FS;10;0.004469556;CN(C)C(=S)SSC(=S)N(C)C;13.653632;1285529.20448279;4.469556000000001e-8;240.433;131.71053058165424;169317733.60064018;9410193739056044;-633096181.4270781;10;positive
tetramethylthioram disulfide;2021062101-pH10-E-005ppm-FS;50;0.004469556;CN(C)C(=S)SSC(=S)N(C)C;13.653632;5941796.33489489;2.2347780000000005e-7;240.433;131.71053058165424;782597147.8771344;9410193739056044;-633096181.4270781;10;positive
tetramethylthioram disulfide;2021062101-pH10-E-01ppm-FS;100;0.004469556;CN(C)C(=S)SSC(=S)N(C)C;13.653632;29445623.0578032;4.469556000000001e-7;240.433;131.71053058165424;3878298636.2506514;9410193739056044;-633096181.4270781;10;positive
tetramethylthioram disulfide;2021062101-pH10-E-05ppm-FS;500;0.004469556;CN(C)C(=S)SSC(=S)N(C)C;13.653632;150915454.272087;2.2347780000000004e-6;240.433;131.71053058165424;19877154555.147957;9410193739056044;-633096181.4270781;10;positive
tetramethylthioram disulfide;2021062101-pH10-E-1ppm-FS;1000;0.004469556;CN(C)C(=S)SSC(=S)N(C)C;13.653632;241199200.736568;4.469556000000001e-6;240.433;131.71053058165424;31768474704.8843;9410193739056044;-633096181.4270781;10;positive
Mianserin;2021062101-pH10-E-001ppm-FS;10;0.003139599;CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42;13.7692979999999;55725366.4745808;3.1395989999999996e-8;264.365;122.46427998583583;6824366882.256372;209506434539161250;-130079311.90981218;10;positive
Mianserin;2021062101-pH10-E-005ppm-FS;50;0.003139599;CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42;13.7692979999999;261954086.72346;1.5697995e-7;264.365;122.46427998583583;32080018619.935726;209506434539161250;-130079311.90981218;10;positive
Mianserin;2021062101-pH10-E-01ppm-FS;100;0.003139599;CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42;13.7692979999999;538507778.344351;3.139599e-7;264.365;122.46427998583583;65947967341.71303;209506434539161250;-130079311.90981218;10;positive
Mianserin;2021062101-pH10-E-05ppm-FS;500;0.003139599;CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42;13.7692979999999;2006481236.59855;1.5697994999999999e-6;264.365;122.46427998583583;245722279945.13095;209506434539161250;-130079311.90981218;10;positive
Mianserin;2021062101-pH10-E-1ppm-FS;1000;0.003139599;CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42;13.7692979999999;3305079974.08974;3.1395989999999997e-6;264.365;122.46427998583583;404754239322.50494;209506434539161250;-130079311.90981218;10;positive
diazinon;2021062101-pH10-E-001ppm-FS;10;0.003232065;CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C;13.884333;36298356.4259609;3.232065e-8;304.346;121.40078748257713;4406649054.4349165;141568214214542980;-832718455.5500319;10;positive
diazinon;2021062101-pH10-E-005ppm-FS;50;0.003232065;CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C;13.884333;171747993.053106;1.6160325e-7;304.346;121.40078748257713;20850341605.199257;141568214214542980;-832718455.5500319;10;positive
