Compound_name;Filename;Dilution;Concentration (M) in the separate mixes;SMILES;ret_time;Peak_Area;conc_M;MW;IC;Peak_Area_IC;slope;intercept;pH;mode
Sulfapyridine;2021062101-pH10-M-01ppm-FS;100;6.39e-5;c1(S(Nc2ccccn2)(=O)=O)ccc(N)cc1;1.9017282;8320556.2112993;3.195e-7;249.289;120.10060252404547;999303814.312235;3034373048160309;-9629193.817284836;10;positive
Sulfapyridine;2021062101-pH10-M-05ppm-FS;500;6.39e-5;c1(S(Nc2ccccn2)(=O)=O)ccc(N)cc1;1.9017282;40244580.1659559;1.5975e-6;249.289;120.10060252404547;4833398326.2585535;3034373048160309;-9629193.817284836;10;positive
Sulfapyridine;2021062101-pH10-M-1ppm-FS;1000;6.39e-5;c1(S(Nc2ccccn2)(=O)=O)ccc(N)cc1;1.9017282;67788758.6454627;3.195e-6;249.289;120.10060252404547;8141470757.677168;3034373048160309;-9629193.817284836;10;positive
Sulfapyridine;2021062101-pH10-M-2ppm-FS;2000;6.39e-5;c1(S(Nc2ccccn2)(=O)=O)ccc(N)cc1;1.9017282;122963708.47759;6.39e-6;249.289;120.10060252404547;14768015476.749636;3034373048160309;-9629193.817284836;10;positive
Theophylline;2021062101-pH10-M-005ppm-FS;50;9.17e-5;Cn1c2c(c(=O)n(c1=O)C)nc[nH]2;1.725567;66569.7303012509;2.2925000000000007e-7;180.164;109.79962230862502;7309331.244264378;31560014378241.426;-333805.91888183396;10;positive
Theophylline;2021062101-pH10-M-01ppm-FS;100;9.17e-5;Cn1c2c(c(=O)n(c1=O)C)nc[nH]2;1.725567;124567.42596797;4.5850000000000014e-7;180.164;109.79962230862502;13677456.323240714;31560014378241.426;-333805.91888183396;10;positive
Theophylline;2021062101-pH10-M-05ppm-FS;500;9.17e-5;Cn1c2c(c(=O)n(c1=O)C)nc[nH]2;1.725567;656364.074951306;2.2925000000000005e-6;180.164;109.79962230862502;72068527.52660345;31560014378241.426;-333805.91888183396;10;positive
Theophylline;2021062101-pH10-M-1ppm-FS;1000;9.17e-5;Cn1c2c(c(=O)n(c1=O)C)nc[nH]2;1.725567;1607517.07608518;4.585000000000001e-6;180.164;109.79962230862502;176504767.80881798;31560014378241.426;-333805.91888183396;10;positive
Theophylline;2021062101-pH10-M-2ppm-FS;2000;9.17e-5;Cn1c2c(c(=O)n(c1=O)C)nc[nH]2;1.725567;3579603.33715141;9.170000000000002e-6;180.164;109.79962230862502;393039094.43391854;31560014378241.426;-333805.91888183396;10;positive
Sulfamethazine;2021062101-pH10-M-005ppm-FS;50;5.65e-5;c1(S(Nc2nc(cc(n2)C)C)(=O)=O)ccc(N)cc1;1.9017282;8948439.87196489;1.4125e-7;278.33;121.92082354394806;1091001158.6234605;8067997685205109;20705522.08962032;10;positive
Sulfamethazine;2021062101-pH10-M-01ppm-FS;100;5.65e-5;c1(S(Nc2nc(cc(n2)C)C)(=O)=O)ccc(N)cc1;1.9017282;19503538.9780399;2.825e-7;278.33;121.92082354394806;2377887534.224116;8067997685205109;20705522.08962032;10;positive
Sulfamethazine;2021062101-pH10-M-05ppm-FS;500;5.65e-5;c1(S(Nc2nc(cc(n2)C)C)(=O)=O)ccc(N)cc1;1.9017282;93569648.6561786;1.4125e-6;278.33;121.92082354394806;11408088622.879168;8067997685205109;20705522.08962032;10;positive
Sulfamethazine;2021062101-pH10-M-1ppm-FS;1000;5.65e-5;c1(S(Nc2nc(cc(n2)C)C)(=O)=O)ccc(N)cc1;1.9017282;164676888.717592;2.825e-6;278.33;121.92082354394806;20077541891.103905;8067997685205109;20705522.08962032;10;positive
Sulfamethazine;2021062101-pH10-M-2ppm-FS;2000;5.65e-5;c1(S(Nc2nc(cc(n2)C)C)(=O)=O)ccc(N)cc1;1.9017282;323478854.457971;5.65e-6;278.33;121.92082354394806;39438808334.56873;8067997685205109;20705522.08962032;10;positive
Nicotinamide;2021062101-pH10-M-005ppm-FS;50;1.28413e-4;N=C(O)c1cccnc1;1.9208634;2494714.72826037;3.210325e-7;122.125;107.6010659077933;268433963.89668673;904802949701977.75;-12847087.49210132;10;positive
Nicotinamide;2021062101-pH10-M-01ppm-FS;100;1.28413e-4;N=C(O)c1cccnc1;1.9208634;5375728.18433383;6.42065e-7;122.125;107.6010659077933;578434082.6648865;904802949701977.75;-12847087.49210132;10;positive
Nicotinamide;2021062101-pH10-M-05ppm-FS;500;1.28413e-4;N=C(O)c1cccnc1;1.9208634;26865121.2227941;3.210325e-6;122.125;107.6010659077933;2890715679.3147244;904802949701977.75;-12847087.49210132;10;positive
Nicotinamide;2021062101-pH10-M-1ppm-FS;1000;1.28413e-4;N=C(O)c1cccnc1;1.9208634;45390496.2545896;6.42065e-6;122.125;107.6010659077933;4884065779.07754;904802949701977.75;-12847087.49210132;10;positive
Nicotinamide;2021062101-pH10-M-2ppm-FS;2000;1.28413e-4;N=C(O)c1cccnc1;1.9208634;93948763.2454426;1.28413e-5;122.125;107.6010659077933;10108987065.928537;904802949701977.75;-12847087.49210132;10;positive
Creatinine;2021062101-pH10-M-005ppm-FS;50;1.47046e-4;CN1CC(=O)N=C1N;1.8826595;42009529.7626234;3.6761500000000003e-007;113.118;105.62778008196726;4437373371.113243;9440035147172616;1686952648.6032832;10;positive
Creatinine;2021062101-pH10-M-01ppm-FS;100;1.47046e-4;CN1CC(=O)N=C1N;1.8826595;89345929.692153;7.3523000000000005e-007;113.118;105.62778008196726;9437412212.741646;9440035147172616;1686952648.6032832;10;positive
Creatinine;2021062101-pH10-M-05ppm-FS;500;1.47046e-4;CN1CC(=O)N=C1N;1.8826595;343659150.10188;3.67615e-6;113.118;105.62778008196726;36299953130.11716;9440035147172616;1686952648.6032832;10;positive
Creatinine;2021062101-pH10-M-1ppm-FS;1000;1.47046e-4;CN1CC(=O)N=C1N;1.8826595;530513971.621;7.3523e-6;113.118;105.62778008196726;56037013124.79401;9440035147172616;1686952648.6032832;10;positive
Creatinine;2021062101-pH10-M-2ppm-FS;2000;1.47046e-4;CN1CC(=O)N=C1N;1.8826595;856135453.863077;1.47046e-5;113.118;105.62778008196726;90431687441.02432;9440035147172616;1686952648.6032832;10;positive
1H-Benzotriazole;2021062101-pH10-M-005ppm-FS;50;1.20485e-4;c12c(nn[nH]1)cccc2;1.8692096;3635763.64391714;3.012125e-7;119.124;107.76089634481383;391793149.1663976;1532693740192777.2;-43085249.39964471;10;positive
1H-Benzotriazole;2021062101-pH10-M-01ppm-FS;100;1.20485e-4;c12c(nn[nH]1)cccc2;1.8692096;8448188.87833099;6.02425e-7;119.124;107.76089634481383;910384406.0192349;1532693740192777.2;-43085249.39964471;10;positive
1H-Benzotriazole;2021062101-pH10-M-05ppm-FS;500;1.20485e-4;c12c(nn[nH]1)cccc2;1.8692096;42410851.46344;3.012125e-6;119.124;107.76089634481383;4570231368.447054;1532693740192777.2;-43085249.39964471;10;positive
1H-Benzotriazole;2021062101-pH10-M-1ppm-FS;1000;1.20485e-4;c12c(nn[nH]1)cccc2;1.8692096;82472498.9526366;6.02425e-6;119.124;107.76089634481383;8887310410.93284;1532693740192777.2;-43085249.39964471;10;positive
1H-Benzotriazole;2021062101-pH10-M-2ppm-FS;2000;1.20485e-4;c12c(nn[nH]1)cccc2;1.8692096;157435049.243652;1.20485e-5;119.124;107.76089634481383;16965342022.585842;1532693740192777.2;-43085249.39964471;10;positive
L-lysine;2021062101-pH10-M-1ppm-FS;1000;1.09069e-4;NCCCC[C@H](N)C(=O)O;1.8826595;398576.750818604;5.45345e-6;146.188;107.96758378837596;43033368.74010628;1950787595489.821;32394846.12748229;10;positive
L-lysine;2021062101-pH10-M-2ppm-FS;2000;1.09069e-4;NCCCC[C@H](N)C(=O)O;1.8826595;497111.164939385;1.09069e-5;146.188;107.96758378837596;53671891.35273024;1950787595489.821;32394846.12748229;10;positive
5-Methyl-1H-benzotriazole;2021062101-pH10-M-005ppm-FS;50;1.19236e-4;c12c(cc(C)cc2)nn[nH]1;1.9052169;8358964.4926124;2.9809000000000004e-7;133.151;108.91265716118838;910397034.0064412;3044436482446487.5;40226142.61776098;10;positive
5-Methyl-1H-benzotriazole;2021062101-pH10-M-01ppm-FS;100;1.19236e-4;c12c(cc(C)cc2)nn[nH]1;1.9052169;17420120.5011145;5.961800000000001e-7;133.151;108.91265716118838;1897271611.8444724;3044436482446487.5;40226142.61776098;10;positive
5-Methyl-1H-benzotriazole;2021062101-pH10-M-05ppm-FS;500;1.19236e-4;c12c(cc(C)cc2)nn[nH]1;1.9052169;83651606.1875238;2.9809e-6;133.151;108.91265716118838;9110718705.684525;3044436482446487.5;40226142.61776098;10;positive
5-Methyl-1H-benzotriazole;2021062101-pH10-M-1ppm-FS;1000;1.19236e-4;c12c(cc(C)cc2)nn[nH]1;1.9052169;140202761.446879;5.9618e-6;133.151;108.91265716118838;15269855290.515812;3044436482446487.5;40226142.61776098;10;positive
5-Methyl-1H-benzotriazole;2021062101-pH10-M-2ppm-FS;2000;1.19236e-4;c12c(cc(C)cc2)nn[nH]1;1.9052169;289370693.674442;1.19236e-5;133.151;108.91265716118838;31516131152.659763;3044436482446487.5;40226142.61776098;10;positive
Imidazole;2021062101-pH10-M-005ppm-FS;50;2.36269e-4;N1C=CN=C1;1.9208634;29941995.0511788;5.906725000000001e-7;68.077;103.97537808876712;3113230256.17831;2820323960394813.5;1643211206.7523837;10;positive
Imidazole;2021062101-pH10-M-01ppm-FS;100;2.36269e-4;N1C=CN=C1;1.9208634;49967013.9286605;1.1813450000000002e-6;68.077;103.97537808876712;5195339165.199168;2820323960394813.5;1643211206.7523837;10;positive
Imidazole;2021062101-pH10-M-05ppm-FS;500;2.36269e-4;N1C=CN=C1;1.9208634;175787825.861306;5.906725000000001e-6;68.077;103.97537808876712;18277605657.331646;2820323960394813.5;1643211206.7523837;10;positive
Imidazole;2021062101-pH10-M-1ppm-FS;1000;2.36269e-4;N1C=CN=C1;1.9208634;278048607.946925;1.1813450000000001e-5;68.077;103.97537808876712;28910209138.336903;2820323960394813.5;1643211206.7523837;10;positive
Imidazole;2021062101-pH10-M-2ppm-FS;2000;2.36269e-4;N1C=CN=C1;1.9208634;510359946.321114;2.3626900000000002e-5;68.077;103.97537808876712;53064868380.100716;2820323960394813.5;1643211206.7523837;10;positive
Furosemide;2021062101-pH10-M-05ppm-FS;500;4.65e-5;C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl;1.9052169;263578.919505082;1.1625e-6;330.744;160.73431147203772;42366176.14519301;24679679465302.94;12673339.026055358;10;positive
Furosemide;2021062101-pH10-M-1ppm-FS;1000;4.65e-5;C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl;1.9052169;426477.26265792;2.325e-6;330.744;160.73431147203772;68549529.17180015;24679679465302.94;12673339.026055358;10;positive
Furosemide;2021062101-pH10-M-2ppm-FS;2000;4.65e-5;C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl;1.9052169;795942.087525798;4.65e-6;330.744;160.73431147203772;127935203.41007553;24679679465302.94;12673339.026055358;10;positive
Gabapentin;2021062101-pH10-M-005ppm-FS;50;9.11e-5;NCC1(CC(O)=O)CCCCC1;3.0509655;9237760.011744501;2.2775000000000004e-7;171.237;111.12713439853286;1026565798.3665236;6679540605596635;-589467843.652576;10;positive
Gabapentin;2021062101-pH10-M-01ppm-FS;100;9.11e-5;NCC1(CC(O)=O)CCCCC1;3.0509655;21114992.41085799;4.555000000000001e-7;171.237;111.12713439853286;2346448599.4654174;6679540605596635;-589467843.652576;10;positive
Gabapentin;2021062101-pH10-M-05ppm-FS;500;9.11e-5;NCC1(CC(O)=O)CCCCC1;3.0509655;131696295.40473229;2.2775000000000002e-6;171.237;111.12713439853286;14635031919.23057;6679540605596635;-589467843.652576;10;positive
Gabapentin;2021062101-pH10-M-1ppm-FS;1000;9.11e-5;NCC1(CC(O)=O)CCCCC1;3.0509655;238783522.333498;4.5550000000000004e-6;171.237;111.12713439853286;26535328578.509705;6679540605596635;-589467843.652576;10;positive
Gabapentin;2021062101-pH10-M-2ppm-FS;2000;9.11e-5;NCC1(CC(O)=O)CCCCC1;3.0509655;428582477.71683204;9.110000000000001e-6;171.237;111.12713439853286;47627142602.09461;6679540605596635;-589467843.652576;10;positive
Metsulfuron-methyl;2021062101-pH10-M-005ppm-FS;50;4.16e-5;c1(c(cccc1)C(OC)=O)S(NC(Nc1nc(nc(n1)C)OC)=O)(=O)=O;3.137474;2050070.5428539221;1.04e-7;381.364;126.19129416861034;258701054.93968198;3384195773446987;-93496596.56636648;10;positive
Metsulfuron-methyl;2021062101-pH10-M-01ppm-FS;100;4.16e-5;c1(c(cccc1)C(OC)=O)S(NC(Nc1nc(nc(n1)C)OC)=O)(=O)=O;3.137474;4835077.378985877;2.08e-7;381.364;126.19129416861034;610144671.8596003;3384195773446987;-93496596.56636648;10;positive
Metsulfuron-methyl;2021062101-pH10-M-05ppm-FS;500;4.16e-5;c1(c(cccc1)C(OC)=O)S(NC(Nc1nc(nc(n1)C)OC)=O)(=O)=O;3.137474;27150027.99340635;1.04e-6;381.364;126.19129416861034;3426097169.2019463;3384195773446987;-93496596.56636648;10;positive
Metsulfuron-methyl;2021062101-pH10-M-1ppm-FS;1000;4.16e-5;c1(c(cccc1)C(OC)=O)S(NC(Nc1nc(nc(n1)C)OC)=O)(=O)=O;3.137474;52855367.00708472;2.08e-6;381.364;126.19129416861034;6669887166.380889;3384195773446987;-93496596.56636648;10;positive
Metsulfuron-methyl;2021062101-pH10-M-2ppm-FS;2000;4.16e-5;c1(c(cccc1)C(OC)=O)S(NC(Nc1nc(nc(n1)C)OC)=O)(=O)=O;3.137474;113463471.81111884;4.16e-6;381.364;126.19129416861034;14318102348.708725;3384195773446987;-93496596.56636648;10;positive
Valsartan;2021062101-pH10-M-005ppm-FS;50;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;453768.0387462706;8.375e-8;435.519;132.9676256863005;60336458.72442081;1184302551043778.7;-39743509.3342226;10;positive
Valsartan;2021062101-pH10-M-01ppm-FS;100;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;1185406.666226061;1.675e-7;435.519;132.9676256863005;157620709.88079223;1184302551043778.7;-39743509.3342226;10;positive
Valsartan;2021062101-pH10-M-05ppm-FS;500;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;7161304.87346996;8.375e-7;435.519;132.9676256863005;952221705.8410331;1184302551043778.7;-39743509.3342226;10;positive
Valsartan;2021062101-pH10-M-1ppm-FS;1000;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;13399650.658539928;1.675e-6;435.519;132.9676256863005;1781719733.091927;1184302551043778.7;-39743509.3342226;10;positive
Valsartan;2021062101-pH10-M-2ppm-FS;2000;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;31518850.11137548;3.35e-6;435.519;132.9676256863005;4190986663.6719856;1184302551043778.7;-39743509.3342226;10;positive
Gabapentin;2021062101-pH10-M-005ppm-FS;10;9.11e-5;NCC1(CC(O)=O)CCCCC1;3.0509655;9237760.011744501;4.555000000000001e-8;171.237;111.12713439853286;1026565798.3665236;6679540605596635;-589467843.652576;10;positive
Metsulfuron-methyl;2021062101-pH10-M-005ppm-FS;10;4.16e-5;c1(c(cccc1)C(OC)=O)S(NC(Nc1nc(nc(n1)C)OC)=O)(=O)=O;3.137474;2050070.5428539221;2.08e-8;381.364;126.19129416861034;258701054.93968198;3384195773446987;-93496596.56636648;10;positive
Furosemide;2021062101-pH10-M-01ppm-FS;100;4.65e-5;C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl;1.9052169;19710.9336821748;2.3250000000000002e-7;330.744;160.73431147203772;3168223.3538753637;24679679465302.94;12673339.026055358;10;positive
Valsartan;2021062101-pH10-M-005ppm-FS;10;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;453768.0387462706;1.675e-8;435.519;132.9676256863005;60336458.72442081;1184302551043778.7;-39743509.3342226;10;positive
Valsartan;2021062101-pH10-M-01ppm-FS;50;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;1185406.666226061;8.375e-8;435.519;132.9676256863005;157620709.88079223;1184302551043778.7;-39743509.3342226;10;positive
Valsartan;2021062101-pH10-M-05ppm-FS;100;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;7161304.87346996;1.675e-7;435.519;132.9676256863005;952221705.8410331;1184302551043778.7;-39743509.3342226;10;positive
Valsartan;2021062101-pH10-M-1ppm-FS;500;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;13399650.658539928;8.375e-7;435.519;132.9676256863005;1781719733.091927;1184302551043778.7;-39743509.3342226;10;positive
Valsartan;2021062101-pH10-M-2ppm-FS;1000;3.35e-5;CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NN=NN3)[C@@H](C(C)C)C(O)=O;4.2019632;31518850.11137548;1.675e-6;435.519;132.9676256863005;4190986663.6719856;1184302551043778.7;-39743509.3342226;10;positive
Pyridine;2021062101-pH10-M-005ppm-FS;50;1.97521e-4;C1=CC=NC=C1;4.2214547;7445000.2067398;4.938025000000001e-7;79.1;105.89017392534205;788352366.765885;1768979938392750.2;-59423003.44717609;10;positive
Pyridine;2021062101-pH10-M-01ppm-FS;100;1.97521e-4;C1=CC=NC=C1;4.2214547;16211142.4414271;9.876050000000002e-7;79.1;105.89017392534205;1716600692.6512098;1768979938392750.2;-59423003.44717609;10;positive
Pyridine;2021062101-pH10-M-05ppm-FS;500;1.97521e-4;C1=CC=NC=C1;4.2214547;81902077.5688067;4.938025000000001e-6;79.1;105.89017392534205;8672625238.607798;1768979938392750.2;-59423003.44717609;10;positive
Pyridine;2021062101-pH10-M-1ppm-FS;1000;1.97521e-4;C1=CC=NC=C1;4.2214547;186383724.303016;9.876050000000002e-6;79.1;105.89017392534205;19736204983.299366;1768979938392750.2;-59423003.44717609;10;positive
Pyridine;2021062101-pH10-M-2ppm-FS;2000;1.97521e-4;C1=CC=NC=C1;4.2214547;373146211.470773;1.9752100000000004e-5;79.1;105.89017392534205;39512517232.22262;1768979938392750.2;-59423003.44717609;10;positive
Caffeine;2021062101-pH10-M-05ppm-FS;500;8.32e-5;CN1c2ncn(C)c2C(=O)N(C)C1=O;4.474207;1575629.40589484;2.08e-6;194.191;111.09389958080749;175042814.9950487;119124890173733.89;-88274587.77713574;10;positive
Caffeine;2021062101-pH10-M-1ppm-FS;1000;8.32e-5;CN1c2ncn(C)c2C(=O)N(C)C1=O;4.474207;3456341.97717645;4.16e-6;194.191;111.09389958080749;383978508.5293702;119124890173733.89;-88274587.77713574;10;positive
Caffeine;2021062101-pH10-M-2ppm-FS;2000;8.32e-5;CN1c2ncn(C)c2C(=O)N(C)C1=O;4.474207;8196789.54028774;8.32e-6;194.191;111.09389958080749;910613314.0737393;119124890173733.89;-88274587.77713574;10;positive
Methomyl;2021062101-pH10-M-005ppm-FS;50;9.84e-5;CC(=NOC(=O)NC)SC;4.5517273;21462280.9422756;2.46e-7;162.21;112.28718388244414;2409939086.701977;8866834925175028;605045504.6035041;10;positive
Methomyl;2021062101-pH10-M-01ppm-FS;100;9.84e-5;CC(=NOC(=O)NC)SC;4.5517273;48010105.7580613;4.92e-7;162.21;112.28718388244414;5390919573.471019;8866834925175028;605045504.6035041;10;positive
Methomyl;2021062101-pH10-M-05ppm-FS;500;9.84e-5;CC(=NOC(=O)NC)SC;4.5517273;199225015.454723;2.46e-6;162.21;112.28718388244414;22370415944.347256;8866834925175028;605045504.6035041;10;positive
Methomyl;2021062101-pH10-M-1ppm-FS;1000;9.84e-5;CC(=NOC(=O)NC)SC;4.5517273;418198075.698585;4.92e-6;162.21;112.28718388244414;46958284225.251305;8866834925175028;605045504.6035041;10;positive
Methomyl;2021062101-pH10-M-2ppm-FS;2000;9.84e-5;CC(=NOC(=O)NC)SC;4.5517273;836299493.800071;9.84e-6;162.21;112.28718388244414;93905715041.12352;8866834925175028;605045504.6035041;10;positive
Iminostilbene;2021062101-pH10-M-005ppm-FS;10;7.93e-5;c1cc2Nc3ccccc3\C=C/c2cc1;8.8502204;1069105.622230566;3.965e-8;193.244;116.69838176384211;124762896.04893257;3962052959957771.5;-211451768.08187935;10;positive
Iminostilbene;2021062101-pH10-M-01ppm-FS;50;7.93e-5;c1cc2Nc3ccccc3\C=C/c2cc1;8.8502204;2156075.789085472;1.9825000000000002e-7;193.244;116.69838176384211;251610555.54647353;3962052959957771.5;-211451768.08187935;10;positive
Iminostilbene;2021062101-pH10-M-05ppm-FS;100;7.93e-5;c1cc2Nc3ccccc3\C=C/c2cc1;8.8502204;12877621.94506963;3.9650000000000004e-7;193.244;116.69838176384211;1502797641.9561665;3962052959957771.5;-211451768.08187935;10;positive
Iminostilbene;2021062101-pH10-M-1ppm-FS;500;7.93e-5;c1cc2Nc3ccccc3\C=C/c2cc1;8.8502204;27428583.26070725;1.9825e-6;193.244;116.69838176384211;3200871280.5993443;3962052959957771.5;-211451768.08187935;10;positive
Iminostilbene;2021062101-pH10-M-2ppm-FS;1000;7.93e-5;c1cc2Nc3ccccc3\C=C/c2cc1;8.8502204;57216723.72427878;3.965e-6;193.244;116.69838176384211;6677099068.452167;3962052959957771.5;-211451768.08187935;10;positive
Cotinine;2021062101-pH10-M-005ppm-FS;50;9.17e-5;CN1C(c2cccnc2)CCC1=O;4.4935235;13113184.0393523;2.2925000000000007e-7;176.215;112.41631303221807;1474135801.8169138;8024746830907978;-127747583.70418364;10;positive
Cotinine;2021062101-pH10-M-01ppm-FS;100;9.17e-5;CN1C(c2cccnc2)CCC1=O;4.4935235;33972937.6360191;4.5850000000000014e-7;176.215;112.41631303221807;3819112391.9147463;8024746830907978;-127747583.70418364;10;positive
Cotinine;2021062101-pH10-M-05ppm-FS;500;9.17e-5;CN1C(c2cccnc2)CCC1=O;4.4935235;162247455.960791;2.2925000000000005e-6;176.215;112.41631303221807;18239260797.969296;8024746830907978;-127747583.70418364;10;positive
Cotinine;2021062101-pH10-M-1ppm-FS;1000;9.17e-5;CN1C(c2cccnc2)CCC1=O;4.4935235;347202086.711997;4.585000000000001e-6;176.215;112.41631303221807;39031178465.25517;8024746830907978;-127747583.70418364;10;positive
Cotinine;2021062101-pH10-M-2ppm-FS;2000;9.17e-5;CN1C(c2cccnc2)CCC1=O;4.4935235;734700464.807226;9.170000000000002e-6;176.215;112.41631303221807;82592317436.68523;8024746830907978;-127747583.70418364;10;positive
Cyanazine;2021062101-pH10-M-005ppm-FS;10;6.37e-5;CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;8.4225528;13551261.32169937;3.1850000000000004e-8;240.693;148.65652851173022;2014483465.0391092;87975802796606780;-3697728085.283064;10;positive
Cyanazine;2021062101-pH10-M-01ppm-FS;50;6.37e-5;CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;8.4225528;34132981.20590609;1.5925000000000003e-7;240.693;148.65652851173022;5074090493.826131;87975802796606780;-3697728085.283064;10;positive
Cyanazine;2021062101-pH10-M-05ppm-FS;100;6.37e-5;CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;8.4225528;179277097.0588987;3.1850000000000005e-7;240.693;148.65652851173022;26650710890.436398;87975802796606780;-3697728085.283064;10;positive
Cyanazine;2021062101-pH10-M-1ppm-FS;500;6.37e-5;CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N;8.4225528;372858645.3770739;1.5925000000000002e-6;240.693;148.65652851173022;55427871847.34209;87975802796606780;-3697728085.283064;10;positive
